,Product name,Price,Image URL,Scroll batch,SKU,Short description,Detail URL
114,Gwyn Endurance Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws01-black_main.jpg,12,WS01,This is a variable product called a Gwyn Endurance Tee,https://scrapingcourse.com/ecommerce/product/gwyn-endurance-tee
115,Gabrielle Micro Sleeve Top,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws02-green_main.jpg,12,WS02,This is a variable product called a Gabrielle Micro Sleeve Top,https://scrapingcourse.com/ecommerce/product/gabrielle-micro-sleeve-top
116,Iris Workout Top,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws03-red_main.jpg,12,WS03,This is a variable product called a Iris Workout Top,https://scrapingcourse.com/ecommerce/product/iris-workout-top
117,Layla Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws04-green_main.jpg,12,WS04,This is a variable product called a Layla Tee,https://scrapingcourse.com/ecommerce/product/layla-tee
118,Desiree Fitness Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws05-black_main.jpg,12,WS05,This is a variable product called a Desiree Fitness Tee,https://scrapingcourse.com/ecommerce/product/desiree-fitness-tee
119,Elisa EverCool&trade; Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws06-purple_main.jpg,12,WS06,This is a variable product called a Elisa EverCool™ Tee,https://scrapingcourse.com/ecommerce/product/elisa-evercool&trade;-tee
120,Juliana Short-Sleeve Tee,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws07-black_main.jpg,12,WS07,This is a variable product called a Juliana Short-Sleeve Tee,https://scrapingcourse.com/ecommerce/product/juliana-short-sleeve-tee
121,Minerva LumaTech&trade; V-Tee,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws08-blue_main.jpg,12,WS08,This is a variable product called a Minerva LumaTech™ V-Tee,https://scrapingcourse.com/ecommerce/product/minerva-lumatech&trade;-v-tee
122,Tiffany Fitness Tee,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws09-blue_main.jpg,13,WS09,This is a variable product called a Tiffany Fitness Tee,https://scrapingcourse.com/ecommerce/product/tiffany-fitness-tee
123,Karissa V-Neck Tee,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws10-red_main.jpg,13,WS10,This is a variable product called a Karissa V-Neck Tee,https://scrapingcourse.com/ecommerce/product/karissa-v-neck-tee
124,Diva Gym Tee,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws11-yellow_main.jpg,13,WS11,This is a variable product called a Diva Gym Tee,https://scrapingcourse.com/ecommerce/product/diva-gym-tee
125,Radiant Tee,$22,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws12-orange_main.jpg,13,WS12,This is a variable product called a Radiant Tee,https://scrapingcourse.com/ecommerce/product/radiant-tee
126,Fiona Fitness Short,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh01-black_main.jpg,13,WSH01,This is a variable product called a Fiona Fitness Short,https://scrapingcourse.com/ecommerce/product/fiona-fitness-short
127,Maxima Drawstring Short,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh02-gray_main.jpg,13,WSH02,This is a variable product called a Maxima Drawstring Short,https://scrapingcourse.com/ecommerce/product/maxima-drawstring-short
128,Gwen Drawstring Bike Short,$50,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh03-gray_main.jpg,13,WSH03,This is a variable product called a Gwen Drawstring Bike Short,https://scrapingcourse.com/ecommerce/product/gwen-drawstring-bike-short
129,Artemis Running Short,$45,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh04-black_main.jpg,13,WSH04,This is a variable product called a Artemis Running Short,https://scrapingcourse.com/ecommerce/product/artemis-running-short
130,Bess Yoga Short,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh05-blue_main.jpg,13,WSH05,This is a variable product called a Bess Yoga Short,https://scrapingcourse.com/ecommerce/product/bess-yoga-short
131,Angel Light Running Short,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh06-gray_main.jpg,13,WSH06,This is a variable product called a Angel Light Running Short,https://scrapingcourse.com/ecommerce/product/angel-light-running-short
132,Echo Fit Compression Short,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh07-black_main.jpg,14,WSH07,This is a variable product called a Echo Fit Compression Short,https://scrapingcourse.com/ecommerce/product/echo-fit-compression-short
133,Sybil Running Short,$44,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh08-purple_main.jpg,14,WSH08,This is a variable product called a Sybil Running Short,https://scrapingcourse.com/ecommerce/product/sybil-running-short
134,Mimi All-Purpose Short,$44,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh09-gray_main.jpg,14,WSH09,This is a variable product called a Mimi All-Purpose Short,https://scrapingcourse.com/ecommerce/product/mimi-all-purpose-short
135,Ana Running Short,$40,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh10-black_main.jpg,14,WSH10,This is a variable product called a Ana Running Short,https://scrapingcourse.com/ecommerce/product/ana-running-short
136,Ina Compression Short,$49,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh11-blue_main.jpg,14,WSH11,This is a variable product called a Ina Compression Short,https://scrapingcourse.com/ecommerce/product/ina-compression-short
137,Erika Running Short,$49,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wsh12-green_main.jpg,14,WSH12,This is a variable product called Erika Running Shorts,https://scrapingcourse.com/ecommerce/product/erika-running-short
138,Bella Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt01-blue_main.jpg,14,WT01,This is a variable product called a Bella Tank,https://scrapingcourse.com/ecommerce/product/bella-tank
139,Zoe Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt02-orange_main.jpg,14,WT02,This is a variable product called a Zoe Tank,https://scrapingcourse.com/ecommerce/product/zoe-tank
140,Nora Practice Tank,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt03-red_main.jpg,14,WT03,This is a variable product called a Nora Practice Tank,https://scrapingcourse.com/ecommerce/product/nora-practice-tank
141,Nona Fitness Tank,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt04-blue_main.jpg,14,WT04,This is a variable product called a Nona Fitness Tank,https://scrapingcourse.com/ecommerce/product/nona-fitness-tank
142,Leah Yoga Top,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt05-purple_main.jpg,15,WT05,This is a variable product called a Leah Yoga Top,https://scrapingcourse.com/ecommerce/product/leah-yoga-top
143,Chloe Compete Tank,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt06-blue_main.jpg,15,WT06,This is a variable product called a Chloe Compete Tank,https://scrapingcourse.com/ecommerce/product/chloe-compete-tank
144,Maya Tunic,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt07-green_main.jpg,15,WT07,This is a variable product called a Maya Tunic,https://scrapingcourse.com/ecommerce/product/maya-tunic
145,Antonia Racer Tank,$34,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt08-black_main.jpg,15,WT08,This is a variable product called a Antonia Racer Tank,https://scrapingcourse.com/ecommerce/product/antonia-racer-tank
146,Breathe-Easy Tank,$34,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt09-white_main.jpg,15,WT09,This is a variable product called a Breathe-Easy Tank,https://scrapingcourse.com/ecommerce/product/breathe-easy-tank
